observation point, N, analysis difference
130,4,2.4103486662261275
131,4,65.21804533333216
132,4,-1.943247061776674
133,4,4.98101217677231
134,4,-13.823923796134295
0,10,-12.093332667769573
1,10,-1.2128032093942238
2,10,-6.38118133909029
3,10,-27.580104561269764
4,10,7.370893970179168
5,10,27.662036088715467
6,10,nan
7,10,78.95466795013363
8,10,61.063069832118344
9,10,74.02616456172927
10,10,nan
11,10,-0.7040377812027145
12,10,71.4968415684425
13,10,-0.8178525584198724
14,10,192.99596660189218
15,10,-5.556184347112321
16,10,0.4954469509948467
17,10,41.64101440998547
18,10,104.92352246896826
19,10,10.65517368325527
20,10,10.336102322288752
21,10,-9.17136889005269
22,10,117.74389151114246
23,10,-17.63903584057698
24,10,39.35579534878889
25,10,5.511706955871887
26,10,18.486849667815477
27,10,-4.324917427931723
28,10,141.77493239145042
29,10,2.3218293406062003
30,10,154.0676753771204
31,10,-6.137303902897656
32,10,-4.653545480271532
33,10,31.167908731080388
34,10,70.76778305493008
35,10,-26.80926666553023
36,10,3.074041209810275
37,10,14.421901154168154
38,10,146.81419498046034
39,10,-4.796441460303868
40,10,5.7789869899525
41,10,-2.1310627392786046
42,10,3.302124882869066
43,10,-36.143344123089264
44,10,180.0568679468097
45,10,7.971284485018259
46,10,5.771354943400183
47,10,-10.196701308856063
48,10,230.13621820001845
49,10,0.7970799359663943
50,10,1.017156644546958
51,10,-35.81313603252056
52,10,-30.74283249790369
53,10,11.038433740547589
54,10,6.619433582562124
55,10,-8.678545233764453
56,10,13.02052682777321
57,10,2.1107797260756342
58,10,-7.04542800641957
59,10,-5.9756441436975365
60,10,27.520027432804454
61,10,3.7480347237778915
62,10,39.9653644041955
63,10,4.89273086513731
64,10,20.817854505767173
65,10,-17.9588368984314
66,10,2.2900877838083034
67,10,3.257583054589304
68,10,-7.5879018351897685
69,10,18.478034791493883
70,10,-2.2446533317715875
71,10,7.847672319418052
72,10,-5.520836506861997
73,10,-2.811618116134923
74,10,5.207914519846781
75,10,14.021690762164326
76,10,nan
77,10,-5.103400069177951
78,10,0.3546819204584608
79,10,nan
80,10,nan
81,10,-0.8263688822107724
82,10,3.8784208193819723
83,10,-6.353516132550794
84,10,12.901539313445028
85,10,-9.217425881759482
86,10,-0.02271687240772735
87,10,-49.45600992238633
88,10,-7.9300128545146435
89,10,-11.23588154679237
90,10,-2.654298995096724
91,10,-7.37851935238632
92,10,-10.147100800089902
93,10,-181.3461193992489
94,10,-28.198299674057125
95,10,12.812142370940819
96,10,14.162362453947026
97,10,-2.6268531391224315
98,10,-4.071366958094586
99,10,-12.890148550743106
100,10,20.36218142472717
101,10,12.536939245298527
102,10,1.6340899033730238
103,10,141.791063412521
104,10,4.2421974920871435
105,10,119.0955764801156
106,10,15.526199122057733
107,10,-5.692648183080564
108,10,-1.0967177172142328
109,10,8.357921586140037
110,10,-5.84960746158049
111,10,-2.6666224793689253
112,10,-16.748306993907136
113,10,4.860150514066845
114,10,nan
115,10,-0.8379738840267237
116,10,6.542114732161281
117,10,-15.900949202201446
118,10,1.3928759084183184
119,10,-12.90412371390903
120,10,-2.6937321460409294
121,10,nan
122,10,-0.5634758566884557
123,10,-5.842319169449183
124,10,-13.774082543224722
125,10,-21.046615491320154
126,10,-11.995843711999441
127,10,-16.13764234673181
128,10,6.869176078311284
129,10,9.31562226377173
130,10,3.040181194746765
131,10,55.29788061166164
132,10,2.354868846946374
133,10,8.159008615547464
134,10,-9.551844111689206
