grid_point, analysis_value, analysis_increment
[7, 15],5418.864221605333,-24.27586762156534
[7, 16],5421.37426407034,-39.37326369769016
[7, 17],5447.413558039146,-39.252087682676574
[7, 18],5493.048244630477,-20.151030572868876
[7, 19],5546.153355071865,11.641062718065768
[7, 20],5594.330545969331,45.056753843924525
[7, 21],5636.880644192158,78.25727415375877
[8, 0],5209.017742276479,-17.773757102415402
[8, 1],5221.674603607449,-19.62869358594162
[8, 2],5244.583933626948,-19.147116275963526
[8, 3],5282.485673703105,-14.3831722037512
[8, 4],5323.16102276234,-10.19616721966213
[8, 5],5360.327222844674,-4.374746080025034
[8, 6],5390.4893778821715,-2.335047927155756
[8, 7],5411.729142187786,-5.84498432046621
[8, 8],5425.578529720639,-8.00991306020478
[8, 9],5432.057980111605,-9.925050059203386
[8, 10],5435.246251621959,-11.069153745979747
[8, 11],5440.0933984801,-7.395640428070692
[8, 12],5437.587783842337,-8.159606191626153
[8, 13],5431.297586135817,-11.764444558882133
[8, 14],5425.550849325657,-16.426882354418012
[8, 15],5419.107142933042,-26.238599875077853
[8, 16],5414.939082210374,-42.551749698467574
[8, 17],5439.779540137671,-40.0666043199617
[8, 18],5481.63808690308,-23.703267675877214
[8, 19],5531.346807134314,4.9248895382688715
[8, 20],5576.000402947711,34.88363253771968
[8, 21],5626.444046898292,75.41638138241615
[9, 0],5217.064322139442,-13.353853956766216
[9, 1],5238.138899043732,-8.465477957877738
[9, 2],5257.41186329534,-15.952287116619118
[9, 3],5296.543088731892,-13.426769261638583
[9, 4],5333.556075392464,-11.786968634588447
[9, 5],5365.592570514166,-9.164614723017621
[9, 6],5400.1372108476935,-4.933431491389456
[9, 7],5428.2906412324055,-6.698751888004153
[9, 8],5446.588823190172,-7.841688828872975
[9, 9],5454.81220262658,-8.873563721177561
[9, 10],5456.280048624745,-10.806190435204371
[9, 11],5453.172444824652,-12.858899382878008
[9, 12],5445.251963864142,-16.218037762579115
[9, 13],5436.591959145,-19.297843757347437
[9, 14],5424.943869833531,-26.783892631705385
[9, 15],5414.87226553906,-36.09099089769643
[9, 16],5405.429465525552,-51.812298540864504
[9, 17],5424.520124964912,-49.5472545723469
[9, 18],5464.20297079134,-32.92131236500609
[9, 19],5510.641363554574,-7.511310767312352
[9, 20],5555.828564756684,22.00723304168241
[9, 21],5615.305867676698,69.35505162716345
[10, 0],5218.769203324317,-15.812527146608772
[10, 1],5241.878328394953,-8.725395012972513
[10, 2],5271.112292772126,-5.62855798631972
[10, 3],5309.333740809824,-4.58649622874691
[10, 4],5342.556167508994,-9.373943727585356
[10, 5],5376.738602049955,-8.540604651038848
[10, 6],5414.346526327531,-6.486679327380443
[10, 7],5449.981783547381,-5.876867553405646
[10, 8],5471.031343682109,-6.277178211161299
[10, 9],5479.121985046397,-6.558676687725892
[10, 10],5478.03777512736,-8.87727679555428
[10, 11],5470.8592432957485,-12.740674632580522
[10, 12],5457.791910396075,-19.453053452328277
[10, 13],5443.937930424438,-26.275038153607966
[10, 14],5432.390303220202,-32.17883254993285
[10, 15],5415.086380546225,-46.45235342569231
[10, 16],5399.6337624851385,-63.89736538126181
[10, 17],5410.48050235186,-64.1195662003147
[10, 18],5445.378925892359,-48.67380242706986
[10, 19],5490.841027257065,-24.326294644858535
[10, 20],5540.408008070895,6.923089035269186
[10, 21],5609.781509436154,59.124291627344064
[11, 0],5212.759534738545,-24.719936436874377
[11, 1],5239.453070145695,-13.901619446509358
[11, 2],5271.43183371239,-7.670933915609567
[11, 3],5316.476044932456,-2.4041273971643022
[11, 4],5357.39490599464,-6.6651736068442915
[11, 5],5396.1931308934245,-9.108920152949395
[11, 6],5438.482443470588,-6.816040768309904
[11, 7],5473.9060857573095,-6.301526984140764
[11, 8],5495.650240429202,-4.151893440137428
[11, 9],5503.212803856253,-3.06148616500559
[11, 10],5502.290101985217,-3.7434983140765326
[11, 11],5493.882094778909,-8.2382477689207
[11, 12],5480.33692488644,-15.654726402101915
[11, 13],5467.297684132782,-22.136659297699225
[11, 14],5452.686998917694,-31.424248983058533
[11, 15],5432.823535238773,-48.05313998558813
[11, 16],5409.846911832868,-71.24501318558305
[11, 17],5410.927922973462,-77.5088017746375
[11, 18],5434.535482976807,-70.87273617044593
[11, 19],5485.601051551845,-42.77887898277095
[11, 20],5540.4868801801995,-11.734857128462863
[11, 21],5608.7429220459235,31.970930568557378
[12, 0],5196.190323301196,-40.58991268021782
[12, 1],5222.453140479924,-33.6940002486117
[12, 2],5271.2865452491815,-16.73870821235687
[12, 3],5331.21253453117,-5.960679615117442
[12, 4],5386.173511221093,-4.912803882756634
[12, 5],5430.372006849526,-5.551647868823238
[12, 6],5465.9762671465705,-7.227043404473079
[12, 7],5500.751811829666,-2.1123039214671735
[12, 8],5520.352920325996,0.19656576171109919
[12, 9],5528.8948057146645,2.0272428490607126
[12, 10],5530.894209894635,2.903882065316793
[12, 11],5523.793880528768,-2.5785610605526017
[12, 12],5513.627139315009,-9.415590514908217
[12, 13],5507.657125380351,-11.25941840003452
[12, 14],5497.8416442437165,-17.394563163398743
[12, 15],5471.285277214573,-41.55481621738363
[12, 16],5447.022609048527,-65.63174836205144
[12, 17],5437.007705575595,-81.1019477146001
[12, 18],5457.875229485279,-76.26592544083996
[12, 19],5506.90898564091,-53.16722919014683
[12, 20],5562.231853896019,-27.19245530270109
[12, 21],5615.036572464632,-3.1717087167080535
[13, 0],5164.043471773894,-64.94154350777171
[13, 1],5218.521319856476,-40.58402480571476
[13, 2],5287.659408038272,-20.14478596817571
[13, 3],5354.478356443804,-16.054530203417926
[13, 4],5418.483943839989,-6.444655124905694
[13, 5],5458.147918626687,-4.947345415602285
[13, 6],5487.168374143915,-6.345992296329314
[13, 7],5516.580424917543,-3.1749305546909454
[13, 8],5541.198139066859,2.5133414542924584
[13, 9],5555.37940717937,5.631858765783363
[13, 10],5557.049683884685,1.165147296417672
[13, 11],5556.845582591669,-2.4815943165867793
[13, 12],5557.5303991083665,-2.949878514370539
[13, 13],5560.238022658434,0.6933825346877711
[13, 14],5554.630396358564,-2.9169432106473323
[13, 15],5526.3293365198415,-29.366829780360604
[13, 16],5496.653738996069,-58.689368632926744
[13, 17],5484.035577802995,-75.80356424048387
[13, 18],5503.542552441323,-71.2821970108007
[13, 19],5553.725440157699,-47.63960321848663
[13, 20],5610.555222123133,-21.3841269678951
[13, 21],5662.22450826602,2.2216346019122284
[14, 0],5141.072359092661,-79.73105302392287
[14, 1],5211.864377085499,-52.00512878932204
[14, 2],5305.555435762065,-27.2456661909182
[14, 3],5382.692806624346,-19.90770328047256
[14, 4],5437.128799200145,-11.483333170331207
[14, 5],5472.390005892497,-6.37583006834484
[14, 6],5495.907254694368,-10.409035547982057
[14, 7],5525.666302307543,-8.417020643977594
[14, 8],5554.109790418561,-3.8152156653277416
[14, 9],5577.898086940617,2.428435697142959
[14, 10],5590.08937466034,2.26545966779031
[14, 11],5596.534711759297,0.38048087359493366
[14, 12],5608.175847099954,7.384403283573192
[14, 13],5614.863796627893,12.432967987092525
[14, 14],5612.231501804227,9.899954023997452
[14, 15],5587.603248102718,-14.321919929672731
[14, 16],5557.792759914307,-45.14187347534971
[14, 17],5550.705158834977,-57.419001833762195
[14, 18],5568.796022589361,-53.15487790138923
[14, 19],5617.81031593623,-28.43336087118132
[14, 20],5667.429180477947,-7.12105507792603
[14, 21],5716.1773507523885,16.147985801235336
[15, 0],5141.306840737759,-85.5348916038356
[15, 1],5221.506596981635,-55.74430215927623
[15, 2],5325.566064072605,-26.9862848107432
[15, 3],5397.80976514906,-21.465910503631676
