grid_point, analysis_value
[17, 16],5713.385388633671
[17, 17],5721.8875471138235
[17, 18],5736.693431947451
[17, 19],5747.581496234277
[17, 20],5760.514960383096
[17, 21],5772.750356930323
[18, 0],5364.480558112489
[18, 1],5409.210089977923
[18, 2],5443.6775607594645
[18, 3],5478.455373574023
[18, 4],5510.948173719484
[18, 5],5547.659366356844
[18, 6],5569.23632763591
[18, 7],5592.858225632952
[18, 8],5612.324014001989
[18, 9],5630.671274705643
[18, 10],5653.981674234956
[18, 11],5674.277510294757
[18, 12],5686.007799639983
[18, 13],5699.37071050083
[18, 14],5714.7926660185
[18, 15],5724.613298494052
[18, 16],5733.814499441582
[18, 17],5741.364039516789
[18, 18],5757.227927236729
[18, 19],5769.111543462226
[18, 20],5780.263781101738
[18, 21],5794.821139633783
[19, 0],5375.692223306034
[19, 1],5421.176068789044
[19, 2],5456.858908176699
[19, 3],5496.064738742483
[19, 4],5532.364136268063
[19, 5],5565.102465773152
[19, 6],5584.901090104726
[19, 7],5610.080877296168
[19, 8],5634.079341392888
[19, 9],5653.504564554982
[19, 10],5673.930423907035
[19, 11],5695.392516204268
[19, 12],5710.80209298399
[19, 13],5722.278071769111
[19, 14],5739.854642257769
[19, 15],5753.532864047744
[19, 16],5765.819785609564
[19, 17],5774.551743798997
[19, 18],5785.614105489747
[19, 19],5799.559797694055
[19, 20],5810.6354530492135
[19, 21],5811.373212714601
[20, 0],5384.324967979204
[20, 1],5426.591523854149
[20, 2],5465.288383493074
[20, 3],5505.631188667308
[20, 4],5545.916885330327
[20, 5],5582.362266230323
[20, 6],5604.913963515512
[20, 7],5628.800439233426
[20, 8],5651.174230079507
[20, 9],5676.402221840021
[20, 10],5694.8388298238415
[20, 11],5715.7597965758305
[20, 12],5739.367206320408
[20, 13],5746.180665113491
[20, 14],5763.3567904954925
[20, 15],5777.852822100978
[20, 16],5791.934400952356
[20, 17],5804.925058525546
[20, 18],5814.289205444661
[20, 19],5828.648414237536
[20, 20],5830.504116082075
[20, 21],5838.175216834312
[21, 0],5394.661478357055
[21, 1],5434.545701972389
[21, 2],5477.014166370976
[21, 3],5518.604254918515
[21, 4],5556.530941705618
[21, 5],5593.045951395164
[21, 6],5620.743041636289
[21, 7],5645.704086644455
[21, 8],5673.810730702106
[21, 9],5698.818070883515
[21, 10],5726.162707099598
[21, 11],5745.275794216534
[21, 12],5757.557084993044
[21, 13],5769.623859797631
[21, 14],5779.012098392584
[21, 15],5796.472571812807
[21, 16],5809.180622703783
[21, 17],5827.508527162539
[21, 18],5840.879935254344
[21, 19],5843.292562801198
[21, 20],5855.221423582816
[21, 21],5861.256011973966
[22, 0],5399.784641312108
[22, 1],5441.251088666066
[22, 2],5488.473459576164
[22, 3],5530.633768485799
[22, 4],5569.883302798397
[22, 5],5605.478421311797
[22, 6],5636.2540272138385
[22, 7],5661.764301666381
[22, 8],5686.8977942288275
[22, 9],5715.5924839836425
[22, 10],5740.895657065815
[22, 11],5761.0882570795675
[22, 12],5780.451702546792
[22, 13],5790.785656784454
[22, 14],5799.319612650825
[22, 15],5814.503071361378
[22, 16],5825.838827467296
[22, 17],5845.591402621732
[22, 18],5852.424280439164
[22, 19],5860.942952155796
[22, 20],5866.5979507099255
[22, 21],5873.752808112109
[23, 0],5411.767980719411
[23, 1],5453.42549659796
[23, 2],5494.887329445506
[23, 3],5535.238888006319
[23, 4],5574.008502137771
[23, 5],5612.174417520419
[23, 6],5649.559259329742
[23, 7],5675.803617026496
[23, 8],5700.226028209751
[23, 9],5729.397206030247
[23, 10],5753.600000571762
[23, 11],5775.827051675383
[23, 12],5796.358051241554
[23, 13],5807.69299916762
[23, 14],5822.5877998127335
[23, 15],5842.928342015574
[23, 16],5850.693845898134
[23, 17],5864.306364804277
[23, 18],5865.808642072166
[23, 19],5874.956411490175
[23, 20],5887.004375135752
[23, 21],5889.156729954833
[24, 0],5416.669468595717
[24, 1],5458.354921889215
[24, 2],5501.158475639275
[24, 3],5538.621828897023
[24, 4],5577.359543442305
[24, 5],5622.240778889376
[24, 6],5658.498652928656
[24, 7],5690.081600826308
[24, 8],5713.026288253804
[24, 9],5737.505294738343
[24, 10],5763.537223255886
[24, 11],5787.8831077046025
[24, 12],5811.394554392377
[24, 13],5823.846329668166
[24, 14],5838.482730524206
[24, 15],5857.390712626478
[24, 16],5871.544848624546
[24, 17],5872.363741697695
[24, 18],5882.684713468094
[24, 19],5894.46184613532
[24, 20],5908.697989040891
[24, 21],5911.901127129549
[25, 0],5420.344752479326
[25, 1],5462.171984265944
[25, 2],5506.548078248317
[25, 3],5552.391062261612
[25, 4],5589.479240887564
[25, 5],5625.499643440275
[25, 6],5659.276387868511
