grid_point, number_available_obs
[25, 12],31.0
[25, 13],30.0
[25, 14],27.0
[25, 15],27.0
[25, 16],26.0
[25, 17],23.0
[25, 18],20.0
[25, 19],16.0
[25, 20],14.0
[25, 21],13.0
[26, 0],13.0
[26, 1],15.0
[26, 2],17.0
[26, 3],19.0
[26, 4],21.0
[26, 5],23.0
[26, 6],23.0
[26, 7],22.0
[26, 8],27.0
[26, 9],27.0
[26, 10],29.0
[26, 11],28.0
[26, 12],29.0
[26, 13],25.0
[26, 14],23.0
[26, 15],23.0
[26, 16],20.0
[26, 17],18.0
[26, 18],17.0
[26, 19],14.0
[26, 20],14.0
[26, 21],9.0
[27, 0],12.0
[27, 1],13.0
[27, 2],16.0
[27, 3],16.0
[27, 4],19.0
[27, 5],20.0
[27, 6],20.0
[27, 7],21.0
[27, 8],24.0
[27, 9],24.0
[27, 10],26.0
[27, 11],27.0
[27, 12],26.0
[27, 13],22.0
[27, 14],22.0
[27, 15],19.0
[27, 16],18.0
[27, 17],16.0
[27, 18],14.0
[27, 19],12.0
[27, 20],11.0
[27, 21],9.0
